Estonia|Free|10|2|3|5
United States|Free|12|4|1|7
Germany|Free|15|4|3|8
Australia|Free|18|2|6|10
Hungary|Free|19|5|6|8
Italy|Free|23|4|7|12
Philippines|Free|23|10|5|8
United Kingdom|Free|25|1|8|16
Argentina|Free|26|9|9|8
South Africa|Free|26|8|8|10
Brazil|Free|27|7|6|14
Ukraine|Free|27|7|8|12
Kenya|Free|29|10|7|12
Georgia|Free|30|9|10|11
Nigeria|Partly Free|33|12|9|12
South Korea|Partly Free|34|3|12|19
Uganda|Partly Free|34|11|8|15
Kyrgyzstan|Partly Free|35|13|10|12
Mexico|Partly Free|37|11|11|15
India|Partly Free|39|13|9|17
Indonesia|Partly Free|42|11|11|20
Libya|Partly Free|43|18|9|16
Malaysia|Partly Free|43|10|14|19
Jordan|Partly Free|45|13|12|20
Tunisia|Partly Free|46|14|12|20
Turkey|Partly Free|46|12|17|17
Venezuela|Partly Free|48|15|14|19
Azerbaijan|Partly Free|50|13|16|21
Rwanda|Partly Free|51|13|19|19
Russia|Partly Free|52|11|18|23
Zimbabwe|Partly Free|54|17|14|23
Sri Lanka|Partly Free|55|16|18|21
Kazakhstan|Partly Free|58|15|23|20
Egypt|Partly Free|59|14|12|33
Thailand|Not Free|61|11|21|29
Pakistan|Not Free|63|19|18|26
Belarus|Not Free|69|16|23|30
Bahrain|Not Free|71|12|25|34
Saudi Arabia|Not Free|71|14|26|31
Vietnam|Not Free|73|16|26|31
Myanmar|Not Free|75|22|23|30
Ethiopia|Not Free|75|22|27|26
Uzbekistan|Not Free|77|19|28|30
Syria|Not Free|83|23|25|35
China|Not Free|85|18|29|38
Cuba|Not Free|86|24|29|33
Iran|Not Free|90|21|32|37
