Angola |Partly Free |40|14|7|19
Argentina |Free |27|6|7|14
Armenia |Partly Free |32|7|10|15
Australia |Free |21|2|6|13
Azerbaijan |Partly Free |58|13|20|25
Bahrain |Not Free |71|10|27|34
Bangladesh |Partly Free |54|13|15|26
Belarus |Not Free |64|14|20|30
Brazil |Partly Free |33|8|8|17
Cambodia |Partly Free |52|13|15|24
Canada |Free |15|2|4|9
China |Not Free |87|17|30|40
Colombia |Partly Free |32|8|8|16
Cuba |Not Free |79|21|26|32
Ecuador |Partly Free |43|8|13|22
Egypt |Not Free |68|16|18|34
Estonia |Free |6|0|3|3
Ethiopia |Not Free |86|24|30|32
France |Free |26|3|7|16
Georgia |Free |24|7|6|11
Germany |Free |20|3|6|11
Hungary |Free |29|4|11|14
Iceland |Free |6|1|1|4
India |Partly Free |41|12|9|20
Indonesia |Partly Free |47|10|15|22
Iran |Not Free |85|18|30|37
Italy |Free |25|4|6|15
Japan |Free |23|4|7|12
Jordan |Partly Free |53|13|17|23
Kazakhstan |Not Free |62|13|23|26
Kenya |Free |29|7|7|15
Kyrgyzstan |Partly Free |37|10|9|18
Lebanon |Partly Free |46|14|12|20
Libya |Partly Free |54|20|12|22
Malawi |Partly Free |42|16|11|15
Malaysia |Partly Free |44|8|16|20
Mexico |Partly Free |39|7|10|22
Morocco |Partly Free |45|11|10|24
Myanmar |Not Free |63|17|17|29
Nigeria |Partly Free |34|9|7|18
Pakistan |Not Free |71|19|20|32
Philippines |Free |28|9|6|13
Russia |Not Free |66|11|23|32
Rwanda |Partly Free |53|10|22|21
Saudi Arabia |Not Free |72|14|24|34
Singapore |Partly Free |41|6|14|21
South Africa |Free |25|8|6|11
South Korea |Partly Free |35|3|13|19
Sri Lanka |Partly Free |43|13|12|18
Sudan |Not Free |64|16|18|30
Syria |Not Free |86|23|26|37
Thailand |Not Free |67|10|24|33
the Gambia |Not Free |67|20|20|27
Tunisia |Partly Free |38|10|8|20
Turkey |Not Free |66|13|23|30
Uganda |Partly Free |41|11|9|21
Ukraine |Partly Free |45|9|16|20
United Arab Emirates |Not Free |69|13|23|33
United Kingdom |Free |24|2|5|17
United States |Free |21|3|4|14
Uzbekistan |Not Free |77|19|27|31
Venezuela |Not Free |63|19|18|26
Vietnam |Not Free |76|14|28|34
Zambia |Partly Free |41|12|12|17
Zimbabwe |Partly Free |56|16|15|25
