Angola |Partly Free |40|14|7|19
Argentina |Free |27|6|9|12
Armenia |Free |30|6|10|14
Australia |Free |21|2|6|13
Azerbaijan |Partly Free |57|14|19|24
Bahrain |Not Free |71|10|27|34
Bangladesh |Partly Free |56|14|14|28
Belarus |Not Free |62|13|21|28
Brazil |Partly Free |32|8|7|17
Cambodia |Partly Free |52|15|15|22
Canada |Free |16|3|4|9
China |Not Free |88|18|30|40
Colombia |Partly Free |32|8|8|16
Cuba |Not Free |79|21|26|32
Ecuador |Partly Free |41|8|12|21
Egypt |Not Free |63|15|15|33
Estonia |Free |6|0|3|3
Ethiopia |Not Free |83|23|28|32
France |Free |25|3|6|16
the Gambia |Not Free |67|18|22|27
Georgia |Free |25|8|6|11
Germany |Free |19|3|5|11
Hungary |Free |27|5|10|12
Iceland |Free |6|1|1|4
India |Partly Free |41|12|9|20
Indonesia |Partly Free |44|11|14|19
Iran |Not Free |87|19|31|37
Italy |Free |25|4|6|15
Japan |Free |22|4|7|11
Jordan |Partly Free |51|13|16|22
Kazakhstan |Not Free |63|14|23|26
Kenya |Free |29|8|7|14
Kyrgyzstan |Partly Free |35|10|7|18
Lebanon |Partly Free |45|13|12|20
Libya |Partly Free |58|20|13|25
Malawi |Partly Free |41|16|10|15
Malaysia |Partly Free |45|9|16|20
Mexico |Partly Free |38|8|10|20
Morocco |Partly Free |44|12|9|23
Myanmar |Not Free |61|17|17|27
Nigeria |Partly Free |34|10|7|17
Pakistan |Not Free |69|18|20|31
Philippines |Free |26|9|5|12
Russia |Not Free |65|10|23|32
Rwanda |Partly Free |51|10|21|20
Saudi Arabia |Not Free |72|14|24|34
Singapore |Partly Free |41|6|14|21
South Africa |Free |25|8|6|11
South Korea |Partly Free |36|3|15|18
Sri Lanka |Partly Free |44|14|12|18
Sudan |Not Free |64|16|18|30
Syria |Not Free |87|24|26|37
Thailand |Not Free |66|10|23|33
Tunisia |Partly Free |38|10|8|20
Turkey |Not Free |61|13|21|27
Uganda |Partly Free |42|13|11|18
Ukraine |Partly Free |38|8|11|19
United Arab Emirates |Not Free |68|14|22|32
United Kingdom |Free |23|2|5|16
United States |Free |18|3|2|13
Uzbekistan |Not Free |79|20|28|31
Venezuela |Partly Free |60|18|17|25
Vietnam |Not Free |76|14|28|34
Zambia |Partly Free |38|11|10|17
Zimbabwe |Partly Free |56|15|16|25
